a1,-1.23,1.27,0.31,-1.23,1.27,0.31
a2,-0.42,1.69,1.35,-0.42,1.69,1.35
a3,0.65,1.04,1.08,0.65,1.04,1.08
a4,1.6,1,1.17,1.6,1,1.17
a5,2.96,2.5,1.5,2.96,2.5,1.5
a6,-1.28,0.24,-0.28,-1.28,0.24,-0.28
a7,0.88,-0.08,0.2,0.88,-0.08,0.2
a8,1.68,1.36,0.96,1.68,1.36,0.96
b1,-1.75,0.65,0,-1.75,0.65,0
b2,-1.58,0.09,0.13,-1.58,0.09,0.13
b3,1.79,1.22,1,1.79,1.22,1
b4,-2.75,0.92,-0.21,-2.75,0.92,-0.21
b5,-2.65,1.35,-0.13,-2.65,1.35,-0.13
b6,-0.29,0.67,0.63,-0.29,0.67,0.63
b7,-0.33,0.88,0.79,-0.33,0.88,0.79
b8,-0.08,1.13,1.13,-0.08,1.13,1.13
b9,-1.21,1.5,0.38,-1.21,1.5,0.38
