a1,2.93,2.37,1.43,2.93,2.37,1.43
a2,0.8,1,0.67,0.8,1,0.67
a3,3.38,2.62,1.93,3.38,2.62,1.93
a4,2.9,1.63,1.6,2.9,1.63,1.6
a5,2.13,1.33,0.87,2.13,1.33,0.87
a6,3.48,2.57,0.93,3.48,2.57,0.93
a7,1.37,0.63,-0.1,1.37,0.63,-0.1
a8,0.47,-0.63,-0.57,0.47,-0.63,-0.57
a9,-0.77,0.8,1.37,-0.77,0.8,1.37
a10,2.52,1.9,0.6,2.52,1.9,0.6
a11,1.28,0.9,0.31,1.28,0.9,0.31
a12,1.86,1.93,1.18,1.86,1.93,1.18
a13,0.8,0.1,-0.17,0.8,0.1,-0.17
b1,1.07,1.26,1.3,1.07,1.26,1.3
b2,-3.41,1.67,0.31,-3.41,1.67,0.31
b3,-1.52,1.33,0.81,-1.52,1.33,0.81
b4,0.3,0.85,0.48,0.3,0.85,0.48
b5,-3.15,1.48,0.27,-3.15,1.48,0.27
b6,-2.78,1.15,1,-2.78,1.15,1
b7,1.11,1.52,1.15,1.11,1.52,1.15
b8,-0.74,0.78,1.07,-0.74,0.78,1.07
b9,-0.54,0.15,-0.04,-0.54,0.15,-0.04
b10,1.11,1.63,1.11,1.11,1.63,1.11
b11,-3.52,1.41,0.22,-3.52,1.41,0.22
