Z000000000  -0.25  -0.09   0.07  -0.15   0.03  -0.02  -0.09  -0.38  -0.03
Z100000000   0.44  -0.02   0.05   0.11   0.03  -0.01   0.01   0.00  -0.01
Z010000000   0.00   0.59  -0.05   0.03   0.15  -0.07   0.00  -0.06   0.00
Z001000000   0.01   0.07   0.65   0.00   0.02   0.29  -0.02   0.02   0.01
Z000100000   0.41  -0.09  -0.08   0.54  -0.14  -0.08   0.11   0.20   0.05
Z000010000  -0.04   0.47   0.11  -0.05   0.72   0.14  -0.01  -0.14   0.00
Z000001000  -0.10  -0.05   0.28  -0.12  -0.04   0.62  -0.02   0.05   0.04
Z000000100   0.02   0.02   0.00   0.05   0.02  -0.01   0.62  -0.07   0.00
Z000000010  -0.02  -0.04   0.01  -0.04   0.00  -0.03  -0.01   0.67  -0.04
Z000000001  -0.01   0.01   0.00   0.00   0.02   0.04   0.04   0.08   0.67
Z100100000   0.05   0.01   0.00   0.02   0.01  -0.01   0.04   0.02   0.00
Z100010000  -0.03   0.02   0.00   0.02  -0.01   0.01  -0.01   0.02   0.01
Z100000100   0.00   0.00  -0.01   0.01  -0.01  -0.01   0.00   0.01  -0.01
Z100000010   0.01   0.00   0.00  -0.01   0.00   0.02   0.00   0.01   0.03
Z010100000   0.01   0.04  -0.02   0.00   0.00   0.01  -0.01  -0.01  -0.02
Z010010000   0.00  -0.07   0.02  -0.01  -0.01   0.01   0.00   0.03   0.00
Z010000010   0.02   0.01   0.00   0.03   0.01   0.00   0.00  -0.01  -0.03
Z010000001  -0.01   0.02   0.01  -0.02   0.05   0.01   0.01  -0.01   0.01
Z001001000   0.00  -0.02  -0.06   0.00   0.00  -0.02   0.03   0.00   0.01
Z000100100   0.13   0.02   0.00   0.12   0.03  -0.01   0.05   0.03   0.01
Z000100010  -0.06  -0.03  -0.01  -0.04  -0.01  -0.02   0.00   0.02   0.00
Z000010100  -0.06   0.01   0.00  -0.05   0.00   0.01  -0.03  -0.01   0.01
Z000010010   0.07   0.04   0.02   0.06   0.01   0.03  -0.01  -0.04   0.01
Z000010001   0.01   0.02   0.01   0.02   0.02   0.00  -0.02  -0.02  -0.01
Z000001010   0.03  -0.01  -0.02   0.04   0.00  -0.01  -0.01   0.00  -0.02
Z100100100   0.03   0.01   0.00   0.03   0.01   0.00   0.01   0.01   0.00
Z100010010   0.02   0.01   0.01   0.03   0.00  -0.02  -0.01  -0.01  -0.01
Z010010010  -0.02   0.00   0.01  -0.03  -0.01   0.01  -0.01   0.00   0.01
Z010010001   0.02  -0.01  -0.04   0.00  -0.02  -0.01   0.00   0.01  -0.02
